aX,aY,aZ,gX,gY,gZ
0.181,0.603,-0.290,-2.930,-68.115,-250.122
0.220,0.709,-0.326,-9.460,-71.716,-268.005
0.242,0.785,-0.352,-14.465,-73.669,-277.161
0.199,0.860,-0.403,-21.606,-72.632,-287.292
0.252,0.984,-0.383,-24.841,-67.383,-295.166
0.281,0.991,-0.402,-33.264,-59.387,-309.265
0.310,1.218,-0.456,-40.833,-67.932,-316.223
0.254,1.395,-0.481,-38.696,-68.481,-313.049
0.164,1.532,-0.491,-38.330,-59.692,-317.383
0.040,1.720,-0.537,-36.743,-49.988,-322.510
-0.029,1.867,-0.608,-35.583,-39.612,-324.158
-0.006,2.038,-0.662,-39.246,-39.246,-327.637
-0.067,2.117,-0.677,-41.687,-43.152,-326.721
-0.255,2.209,-0.576,-43.091,-46.265,-323.303
-0.472,2.158,-0.505,-44.922,-47.241,-315.125
-0.693,2.155,-0.430,-48.767,-43.945,-306.519
-0.676,2.269,-0.514,-53.162,-48.157,-297.485
-0.611,2.429,-0.519,-53.528,-52.185,-279.480
-0.625,2.485,-0.600,-49.988,-62.378,-256.348
-0.801,2.277,-0.712,-45.776,-71.289,-229.553
-1.015,1.922,-0.707,-46.143,-76.355,-198.792
-1.534,1.843,-0.659,-44.556,-66.101,-163.818
-2.174,1.757,-0.493,-37.720,-33.203,-122.375
-2.305,1.522,-0.140,-24.902,7.324,-65.857
-1.716,1.238,-0.015,-16.052,18.616,-2.869
-1.058,1.238,-0.023,-12.695,1.160,56.824
-0.817,1.396,-0.177,-10.193,-26.550,102.905
-0.849,1.416,-0.279,-10.681,-52.490,130.249
-0.954,1.411,-0.237,-12.451,-69.153,150.574
-1.182,1.382,-0.152,-12.817,-72.998,168.335
-0.664,1.271,-0.357,-11.169,-72.510,168.762
0.802,1.099,-0.665,-9.094,-73.608,140.808
2.170,1.033,-0.542,-6.287,-62.012,104.187
1.635,1.002,0.026,-0.732,-20.081,100.952
0.353,1.313,0.626,7.874,-14.465,135.559
-0.348,1.340,-0.027,-1.282,-55.664,171.265
-0.602,1.479,-0.244,-18.433,-83.374,191.772
-0.163,1.918,-0.648,-16.235,-81.604,183.777
-0.335,1.708,0.025,-13.977,-69.946,169.434
-0.069,1.162,-0.991,-33.936,-49.866,164.673
-0.640,1.235,0.025,-31.677,-21.301,159.546
0.039,1.183,-0.455,-22.705,-5.432,151.978
-0.219,0.721,-0.343,-29.114,-1.282,138.733
-0.150,0.684,-0.796,-40.588,-0.671,125.244
-0.553,0.960,-0.824,-38.330,8.118,115.662
-0.177,1.355,-0.429,-20.142,30.090,101.135
-0.404,1.135,-0.509,-16.602,50.110,90.210
-0.017,1.165,-0.358,-12.146,62.012,79.834
-0.650,1.237,-0.635,-9.460,72.205,83.191
0.331,1.101,-0.155,9.277,75.378,64.880
-0.213,0.894,-0.337,-2.930,79.041,58.594
0.267,1.002,-0.349,1.648,72.205,50.476
-0.015,1.001,-0.324,-5.127,67.383,44.922
0.791,1.081,-0.308,3.235,54.993,36.011
-0.240,0.925,-0.341,-6.104,47.241,35.339
0.775,0.942,-0.364,3.113,36.072,23.499
-0.715,0.919,-0.392,-9.277,31.433,30.579
0.645,0.985,-0.509,9.949,28.320,10.986
-0.463,0.497,-0.500,-12.268,24.475,18.555
0.240,1.451,-0.368,12.329,26.794,12.939
-0.497,0.361,-0.595,-7.385,23.926,12.695
0.396,1.380,-0.202,12.451,34.424,9.583
0.028,0.530,-0.475,-1.343,29.053,6.226
0.266,1.049,-0.250,7.507,37.170,10.315
0.166,0.824,-0.360,2.014,33.691,6.348
0.110,0.874,-0.388,0.671,33.691,12.817
0.133,0.931,-0.393,3.113,34.668,11.963
0.177,0.944,-0.368,5.249,36.682,13.000
0.121,0.743,-0.455,0.183,35.217,15.808
-0.197,1.192,-0.322,6.042,36.011,23.193
0.124,0.732,-0.409,3.967,38.269,18.127
-0.096,0.986,-0.307,2.686,38.818,26.428
0.148,0.841,-0.363,3.601,43.152,22.522
-0.055,0.917,-0.356,0.305,40.527,26.978
0.419,0.894,-0.288,2.258,44.739,21.118
-0.203,0.977,-0.410,-3.296,38.879,28.870
0.541,0.865,-0.289,0.549,38.330,24.109
-0.555,1.057,-0.460,-7.446,26.123,41.565
0.753,0.992,-0.155,7.874,32.349,29.907
-0.562,0.559,-0.780,-18.555,17.578,51.270
0.672,1.437,-0.069,10.681,25.696,48.096
-0.720,0.620,-0.747,-15.930,16.968,65.125
0.766,1.176,-0.162,13.550,26.489,62.866
-0.164,0.867,-0.532,-3.601,20.325,76.843
