aX,aY,aZ,gX,gY,gZ
-0.062,0.938,-0.373,4.883,5.127,35.522
-0.062,0.971,-0.358,8.362,10.742,44.312
-0.036,0.973,-0.367,10.010,13.306,49.011
-0.037,0.978,-0.356,11.353,16.174,55.603
-0.016,0.994,-0.340,12.573,20.081,63.416
0.095,0.995,-0.343,14.160,20.996,71.411
0.071,0.964,-0.390,16.541,15.930,78.979
-0.101,0.922,-0.367,17.273,11.841,86.487
-0.204,0.916,-0.285,15.625,14.160,92.102
-0.198,0.937,-0.204,15.320,22.461,94.910
-0.080,0.978,-0.215,17.761,28.992,97.595
-0.057,0.959,-0.261,19.653,30.823,101.257
-0.083,0.962,-0.258,17.151,30.884,104.614
-0.171,0.978,-0.277,12.329,32.104,107.666
-0.235,0.950,-0.316,9.033,34.119,109.802
-0.237,0.898,-0.371,7.202,36.560,110.107
-0.296,0.851,-0.396,8.301,37.903,108.032
-0.491,0.842,-0.354,11.963,40.588,103.455
-0.461,0.849,-0.277,14.099,44.983,98.572
-0.436,0.868,-0.323,17.090,41.321,92.346
-0.562,0.885,-0.294,17.212,36.865,85.449
-0.531,1.014,-0.273,15.076,37.903,79.468
-0.427,1.255,-0.343,13.000,41.504,80.750
-0.291,1.505,-0.324,11.597,44.250,89.783
-0.220,1.594,-0.270,11.414,43.091,111.023
-0.170,1.533,-0.264,14.160,41.992,136.963
-0.114,1.152,-0.206,10.376,37.903,157.043
-0.410,1.001,-0.219,6.226,30.518,166.931
-0.775,0.822,-0.304,4.089,31.921,165.588
-0.939,0.734,-0.278,-2.258,40.100,152.893
-0.816,1.072,-0.263,0.977,46.204,136.780
-0.407,1.681,-0.228,6.592,48.462,136.292
-0.413,1.960,-0.320,4.272,45.776,148.987
-0.616,2.214,-0.407,4.639,50.659,163.452
-0.501,2.345,-0.409,11.658,62.744,181.885
-0.236,2.492,-0.397,16.968,71.411,190.796
0.059,2.597,-0.477,27.161,81.421,191.956
0.250,2.546,-0.508,45.471,97.595,198.730
0.226,1.959,-0.401,49.377,114.807,211.853
0.117,1.328,-0.408,40.405,113.464,192.383
0.306,0.852,-0.594,50.049,85.693,155.762
0.197,0.412,-0.094,69.153,72.083,120.483
-0.273,-0.108,0.005,67.871,67.383,98.389
-0.522,-0.558,-0.254,52.368,59.143,77.881
-0.571,-0.688,-0.212,39.185,55.542,51.514
