aX,aY,aZ,gX,gY,gZ
-0.342,1.294,-0.384,-55.176,-3.662,85.815
-0.302,1.153,-0.358,-45.166,1.709,74.219
0.057,1.241,-0.672,-22.217,21.118,59.021
-0.622,1.306,-1.165,-18.005,27.954,60.425
-0.165,1.220,-0.292,-12.512,22.888,63.049
-1.058,1.495,-0.729,-13.306,17.151,63.904
-0.049,1.511,-0.377,-1.709,14.893,45.593
0.189,1.709,-0.704,1.709,2.930,23.621
0.133,1.998,-0.292,-8.362,-0.305,10.620
-0.203,2.617,-0.386,-20.508,3.235,13.245
0.140,2.664,-0.444,-33.386,2.869,32.349
-0.262,2.794,0.073,-28.320,17.883,44.678
0.069,2.283,0.139,-21.790,53.528,52.979
0.378,2.180,0.306,-1.709,104.858,59.692
0.319,1.743,0.139,8.606,121.887,68.054
-0.025,1.638,-0.144,6.165,123.901,82.275
0.727,1.508,-0.132,3.540,113.647,88.074
0.370,1.362,-0.202,-8.667,90.088,107.117
1.156,1.435,-0.184,-5.615,67.444,106.506
0.894,1.151,0.113,-12.390,59.448,116.577
0.506,1.027,0.003,-30.212,45.166,141.113
0.564,1.053,-0.138,-43.579,24.414,155.762
0.774,1.171,-0.166,-59.814,7.324,162.842
0.796,1.396,-0.126,-68.481,-0.427,171.204
0.805,1.352,-0.195,-74.097,-6.653,181.885
0.175,1.221,-0.486,-87.646,-12.329,201.843
0.112,1.452,-0.432,-86.060,-4.456,211.487
0.704,1.616,-0.136,-80.078,13.550,210.327
0.788,1.625,-0.057,-72.388,35.522,216.248
0.535,1.619,0.049,-60.486,62.439,218.445
0.677,1.456,0.176,-52.490,89.661,209.106
1.042,1.372,0.204,-45.471,103.699,203.674
1.160,1.226,0.219,-34.058,106.995,201.904
1.193,1.126,0.206,-21.851,106.567,193.787
1.345,1.119,0.116,-11.658,97.534,172.974
1.255,1.361,0.057,-6.531,79.285,152.222
1.154,1.343,-0.060,-1.953,53.101,128.967
1.039,1.225,-0.143,-4.150,29.114,98.328
0.943,1.208,-0.107,-6.104,8.179,67.627
0.803,1.284,-0.086,-6.348,-16.479,40.833
0.663,1.275,-0.115,-2.502,-40.100,15.869
0.563,1.150,-0.116,5.554,-53.711,-11.658
0.422,1.021,-0.133,19.775,-54.688,-44.250
0.350,0.925,-0.194,40.649,-49.622,-74.890
0.243,0.895,-0.255,61.523,-45.532,-105.530
0.164,0.905,-0.360,79.773,-43.274,-135.254
0.019,0.797,-0.463,93.384,-38.452,-163.757
0.010,0.711,-0.527,101.929,-32.349,-193.054
0.028,0.726,-0.541,111.389,-27.283,-221.985
0.088,0.694,-0.572,117.859,-27.710,-250.916
0.021,0.725,-0.564,122.070,-26.550,-279.785
-0.018,0.770,-0.559,125.732,-17.883,-307.983
-0.073,0.829,-0.499,128.235,-1.892,-332.031
-0.051,0.880,-0.436,128.601,16.968,-351.685
-0.033,0.964,-0.358,126.953,34.485,-369.629
-0.060,1.047,-0.359,124.268,50.720,-385.498
-0.147,1.088,-0.376,120.178,70.313,-398.743
-0.275,1.107,-0.383,115.906,91.003,-409.607
-0.307,1.060,-0.279,104.187,98.633,-419.434
-0.183,1.181,-0.251,83.679,80.017,-432.556
-0.200,1.553,-0.161,65.186,42.114,-443.665
-0.412,1.868,-0.151,52.307,-3.906,-442.444
-0.756,2.059,-0.205,40.100,-45.593,-432.312
-1.201,2.255,-0.256,26.184,-73.181,-416.809
-1.767,2.536,-0.366,10.010,-82.458,-393.311
-2.563,2.896,-0.530,-0.793,-66.467,-355.591
-3.127,3.112,-0.673,8.789,-40.955,-297.974
-3.204,2.804,-0.992,24.536,-29.541,-237.122
-3.137,1.960,-1.370,8.728,-31.006,-189.758
-2.907,1.542,-1.520,6.958,1.709,-97.839
-2.508,1.232,-1.399,6.042,-48.645,-24.414
-3.060,1.081,-0.794,8.789,-140.991,6.775
-2.843,0.639,-0.939,10.986,-68.604,40.527
-2.908,0.895,-0.858,-0.488,-23.193,86.243
-2.645,1.019,-0.729,7.874,-33.630,138.855
-1.989,0.938,-0.488,2.136,-40.833,184.631
-1.071,0.912,-0.150,-14.465,-56.519,184.875
-1.311,0.557,-0.874,-71.716,-103.577,214.111
1.481,1.356,-0.215,-117.676,-132.141,197.632
1.910,1.739,0.508,-144.653,-117.004,167.664
-3.126,2.689,-0.283,-189.270,-119.202,217.651
-2.414,3.580,-0.146,-162.415,-91.675,276.062
-0.148,2.287,-0.176,-118.042,4.456,274.780
-0.456,0.870,-1.005,-86.731,68.848,273.865
-1.358,0.503,-1.853,-94.543,29.297,252.136
-1.925,0.813,-0.860,-92.896,42.236,195.068
-2.016,0.747,0.331,-92.163,59.448,174.072
0.654,0.513,-0.172,-143.127,24.475,106.018
0.124,2.165,0.226,-132.263,-0.305,78.491
-0.327,1.671,-0.411,-118.103,-12.451,41.992
-0.779,1.447,-0.643,-93.140,-8.728,76.660
-0.848,1.404,-0.345,-28.870,21.851,103.149
-0.474,1.005,-0.875,7.507,50.964,98.938
0.158,1.155,-0.657,5.554,41.260,80.505
0.066,1.444,-0.660,-5.371,25.024,60.669
-1.021,1.560,-1.097,-15.625,16.052,57.678
0.034,1.438,-0.442,-20.691,17.517,48.828
-0.882,2.155,-0.494,-12.695,12.207,53.894
0.152,2.323,0.126,-11.658,15.503,39.185
0.802,2.381,-0.305,-21.179,7.935,37.109
0.488,2.658,-0.052,-29.419,2.197,46.997
0.031,2.719,0.102,-30.151,20.447,52.795
-0.334,2.242,-0.466,-30.334,48.035,63.171
0.020,2.387,0.176,-10.498,83.313,73.730
0.349,1.927,-0.024,1.282,106.812,82.031
0.937,1.650,0.252,2.625,112.610,99.670
1.336,1.417,0.047,1.343,96.375,112.732
0.960,1.246,-0.017,-12.695,64.026,125.549
1.000,1.247,-0.154,-22.644,44.495,134.216
0.431,1.250,-0.201,-41.077,24.597,159.668
0.273,1.344,-0.068,-57.434,16.296,176.758
0.990,1.398,-0.236,-61.707,10.498,173.523
1.380,1.299,-0.022,-63.477,13.245,176.331
1.133,1.060,-0.064,-66.589,17.883,184.998
0.525,1.064,-0.123,-77.454,24.048,194.885
0.584,1.444,-0.085,-71.960,34.424,200.623
1.212,1.465,0.030,-74.707,32.043,203.369
1.063,1.383,-0.019,-66.711,28.687,200.745
0.781,1.119,0.129,-67.078,36.438,193.237
0.769,1.191,0.230,-60.852,49.622,185.547
0.943,1.235,0.347,-44.983,61.584,175.110
1.183,1.252,0.266,-24.414,61.890,166.077
