aX,aY,aZ,gX,gY,gZ
0.096,0.953,-0.249,-0.488,0.244,-1.038
0.095,0.952,-0.250,-0.732,0.366,-0.977
0.093,0.955,-0.248,-0.732,0.610,-1.160
0.095,0.953,-0.246,-0.732,0.488,-1.160
0.096,0.951,-0.246,-0.977,0.610,-1.221
0.097,0.952,-0.247,-0.854,0.488,-1.221
0.096,0.953,-0.247,-0.916,0.488,-1.221
0.096,0.953,-0.247,-1.038,0.610,-1.221
0.097,0.954,-0.249,-1.221,0.610,-1.099
0.098,0.952,-0.249,-1.099,0.732,-1.099
0.098,0.952,-0.250,-1.160,0.854,-1.160
0.098,0.954,-0.253,-1.099,0.793,-0.916
0.098,0.954,-0.252,-1.038,0.732,-0.977
0.098,0.954,-0.251,-0.916,0.610,-0.793
0.099,0.954,-0.251,-1.099,0.610,-0.916
0.100,0.954,-0.252,-1.038,0.549,-0.916
0.099,0.953,-0.253,-1.038,0.488,-0.854
0.098,0.953,-0.254,-0.793,0.427,-0.732
0.098,0.954,-0.253,-0.671,0.488,-0.671
0.097,0.953,-0.253,-0.732,0.427,-0.610
0.098,0.952,-0.251,-0.732,0.366,-0.732
0.099,0.953,-0.250,-0.610,0.305,-0.732
0.098,0.954,-0.251,-0.671,0.427,-0.671
0.097,0.954,-0.250,-0.610,0.183,-0.671
0.095,0.953,-0.250,-0.610,0.061,-0.732
0.096,0.954,-0.249,-0.549,0.122,-0.732
0.095,0.953,-0.249,-0.549,0.305,-0.671
0.096,0.953,-0.249,-0.549,0.061,-0.793
0.097,0.953,-0.249,-0.366,0.061,-0.793
0.097,0.952,-0.250,-0.549,0.366,-0.671
0.097,0.954,-0.251,-0.610,0.061,-0.732
0.096,0.954,-0.248,-0.610,0.244,-0.732
0.095,0.954,-0.246,-0.732,0.427,-0.977
0.096,0.952,-0.247,-0.793,0.305,-0.916
0.096,0.954,-0.248,-0.610,0.427,-0.916
0.095,0.953,-0.249,-0.671,0.305,-0.793
0.096,0.954,-0.249,-0.793,0.427,-0.916
0.096,0.954,-0.249,-0.671,0.610,-0.854
0.097,0.952,-0.249,-0.793,0.488,-0.977
0.098,0.951,-0.249,-0.610,0.427,-1.099
0.095,0.952,-0.249,-0.854,0.305,-0.916
0.095,0.954,-0.250,-0.732,0.427,-0.916
0.095,0.955,-0.249,-0.610,0.610,-0.916
0.096,0.954,-0.250,-0.732,0.549,-1.099
0.099,0.955,-0.250,-0.916,0.549,-0.916
0.099,0.955,-0.249,-0.732,0.183,-0.854
0.099,0.953,-0.248,-0.732,0.427,-0.916
0.099,0.951,-0.250,-0.793,0.366,-1.038
0.097,0.954,-0.249,-0.610,0.427,-0.854
0.097,0.955,-0.248,-0.549,0.427,-0.916
0.096,0.956,-0.250,-0.671,0.549,-0.793
0.097,0.955,-0.250,-0.671,0.366,-0.793
0.097,0.954,-0.250,-0.549,0.305,-0.854
0.095,0.953,-0.250,-0.427,0.488,-0.854
0.096,0.953,-0.249,-0.427,0.427,-0.732
0.098,0.954,-0.248,-0.549,0.366,-0.977
0.097,0.953,-0.246,-0.671,0.244,-0.977
0.097,0.954,-0.248,-0.671,0.488,-1.038
0.096,0.954,-0.248,-0.549,0.549,-1.038
0.096,0.953,-0.249,-0.732,0.610,-1.038
0.097,0.953,-0.249,-0.732,0.671,-0.977
0.098,0.952,-0.249,-0.671,0.427,-0.916
0.097,0.953,-0.248,-0.610,0.549,-1.038
0.097,0.953,-0.248,-0.671,0.366,-1.038
0.097,0.954,-0.249,-0.671,0.244,-1.099
0.098,0.954,-0.250,-0.732,0.305,-0.977
0.097,0.953,-0.251,-0.549,0.183,-1.038
