aX,aY,aZ,gX,gY,gZ
-0.722,1.824,-0.813,11.780,16.663,123.047
-0.591,1.537,-0.738,13.000,40.771,118.896
-0.510,1.334,-0.652,15.625,55.359,116.882
-0.343,1.167,-0.539,16.907,57.312,113.037
-0.194,1.061,-0.426,16.479,48.218,102.234
-0.171,0.997,-0.303,13.184,33.142,90.576
-0.240,0.995,-0.251,9.949,21.301,78.979
-0.255,0.975,-0.231,10.193,10.193,67.139
-0.152,0.833,-0.202,10.071,-1.831,56.641
-0.060,0.682,-0.179,7.996,-13.489,45.898
0.004,0.460,-0.186,4.639,-25.330,37.292
0.074,0.346,-0.169,-1.099,-35.400,23.499
0.157,0.337,-0.173,0.000,-46.814,5.310
0.209,0.290,-0.182,-2.563,-58.044,-7.935
0.212,0.297,-0.184,-8.118,-64.575,-20.203
0.183,0.290,-0.167,-12.329,-65.125,-33.203
0.183,0.245,-0.142,-14.832,-63.904,-45.532
0.193,0.205,-0.088,-16.174,-62.927,-60.059
0.187,0.155,-0.081,-17.395,-62.317,-76.660
0.186,0.184,-0.060,-18.188,-60.242,-93.811
0.274,0.222,-0.042,-18.921,-61.157,-111.023
0.286,0.293,-0.008,-21.057,-64.819,-121.704
0.190,0.291,-0.001,-21.973,-67.078,-124.512
0.072,0.205,-0.006,-21.240,-67.627,-129.395
0.034,0.164,0.023,-20.386,-71.350,-138.245
-0.035,0.181,0.066,-20.935,-76.721,-144.836
-0.145,0.189,0.115,-22.522,-84.656,-145.325
-0.276,0.230,0.206,-23.254,-91.919,-139.893
-0.446,0.229,0.229,-22.888,-104.065,-130.310
-0.763,0.228,0.146,-20.325,-115.540,-120.789
-1.136,0.215,0.047,-15.076,-119.812,-110.107
-1.389,0.172,-0.054,-11.780,-115.601,-97.900
-1.611,0.154,-0.125,-9.644,-104.004,-82.275
-1.766,0.136,-0.178,-7.629,-91.370,-61.951
-1.828,0.100,-0.172,-7.629,-84.290,-39.429
-1.872,0.130,-0.203,-2.380,-66.895,-17.517
-1.849,0.124,-0.238,3.235,-50.964,1.709
-1.795,0.096,-0.253,6.226,-39.551,20.447
-1.681,0.047,-0.162,8.301,-28.992,36.377
-1.464,-0.002,-0.001,13.306,-18.738,49.133
-1.184,-0.117,0.120,21.484,-10.864,59.326
-0.816,-0.291,0.264,32.471,-9.399,64.270
-0.664,-0.570,0.237,34.912,-17.700,63.171
-1.426,-1.118,-0.371,24.292,-30.945,67.566
-1.523,-0.661,0.293,37.170,-42.480,70.251
-1.243,-0.520,-0.801,16.724,-68.848,66.406
-1.734,0.554,-0.896,-9.216,-90.027,80.811
-0.091,1.314,-1.094,-8.789,-108.765,41.687
0.473,2.069,-1.185,-29.602,-81.970,-37.292
-0.609,2.668,-1.508,-40.527,-37.109,-48.279
-0.936,3.287,-1.023,-3.540,10.437,-13.062
-0.589,2.337,-0.252,26.672,64.575,17.151
-0.462,1.497,0.083,35.583,82.703,20.691
-0.621,0.940,0.238,42.786,67.810,19.958
-0.687,0.473,0.278,35.828,44.373,8.728
-0.537,0.209,0.024,23.071,26.123,-8.850
-0.341,0.068,-0.271,7.751,0.916,-15.747
-0.244,0.139,-0.460,-2.258,-26.855,-14.038
-0.288,0.346,-0.564,-9.583,-52.185,-13.123
-0.446,0.633,-0.592,-13.489,-55.908,-20.081
-0.641,0.925,-0.510,-12.573,-41.077,-31.799
-0.708,1.177,-0.421,-7.385,-14.343,-40.649
-0.738,1.185,-0.329,-1.099,11.169,-49.255
-0.631,1.092,-0.284,0.793,27.405,-58.594
-0.451,0.981,-0.288,-1.038,32.715,-65.735
-0.321,1.016,-0.330,-1.770,28.015,-68.115
-0.296,1.029,-0.355,-2.441,21.057,-71.045
-0.324,1.009,-0.343,-2.197,7.690,-70.984
-0.292,1.080,-0.328,6.226,-0.366,-62.012
-0.397,0.936,-0.382,5.371,8.545,-67.749
-0.437,0.915,-0.354,4.272,19.348,-78.247
-0.354,0.904,-0.366,6.409,25.757,-80.200
-0.270,0.929,-0.389,13.000,26.978,-71.655
-0.208,0.932,-0.363,17.334,22.217,-62.927
-0.244,0.890,-0.337,16.357,20.508,-60.852
-0.237,0.808,-0.318,11.963,23.621,-63.354
-0.212,0.744,-0.305,6.531,28.381,-67.322
