aX,aY,aZ,gX,gY,gZ
0.235,0.951,-0.228,-35.461,69.641,124.390
0.357,0.770,-0.091,-27.954,83.862,107.361
0.119,0.518,-0.095,-16.724,82.275,88.806
-0.233,0.110,-0.373,-16.602,66.956,68.481
0.142,0.258,-0.178,-16.418,51.819,45.227
0.520,0.405,-0.088,-14.282,34.485,22.217
0.620,0.540,0.029,-12.207,21.423,-0.671
0.241,0.506,-0.039,-14.343,14.282,-17.334
0.198,0.462,0.020,-11.169,9.277,-27.710
0.504,0.172,0.152,-4.456,12.268,-41.504
0.659,0.121,0.253,5.615,14.526,-62.561
0.550,0.182,0.170,12.207,18.127,-82.581
0.429,0.323,0.181,17.212,20.569,-97.778
0.366,0.361,0.172,21.301,15.930,-111.633
0.171,0.354,0.093,23.193,9.949,-124.268
0.103,0.367,-0.026,25.452,5.188,-137.756
0.080,0.410,-0.046,27.405,0.183,-152.466
0.090,0.469,-0.038,30.273,-6.409,-167.542
0.156,0.503,-0.035,33.325,-13.977,-183.105
0.186,0.531,-0.023,35.583,-22.827,-197.815
0.185,0.607,-0.001,38.025,-29.541,-211.426
0.166,0.669,-0.003,39.063,-33.325,-223.389
0.168,0.771,0.033,40.161,-34.851,-232.849
0.129,0.858,0.038,40.283,-33.691,-238.770
0.071,0.980,0.072,40.771,-30.945,-241.699
0.021,1.046,0.067,42.419,-24.536,-242.981
0.009,1.083,0.025,42.847,-11.597,-245.361
-0.021,1.239,-0.068,44.495,1.221,-250.305
-0.133,1.378,-0.201,47.119,13.916,-255.249
-0.223,1.472,-0.279,48.645,26.245,-258.606
-0.226,1.528,-0.259,48.767,36.194,-261.719
-0.255,1.523,-0.186,36.316,33.508,-272.339
-0.022,1.715,0.003,32.043,27.405,-270.325
-0.018,1.631,-0.121,28.992,50.903,-286.743
0.041,1.895,-0.062,37.720,42.236,-278.564
0.094,2.073,-0.144,59.021,30.273,-250.122
-0.018,1.863,-0.073,48.462,19.653,-245.178
-0.211,1.904,-0.083,33.020,5.615,-246.460
-0.358,1.874,-0.036,24.292,-3.784,-247.009
-0.448,1.821,-0.048,16.785,-12.573,-242.920
-0.540,1.809,-0.130,15.381,-22.644,-229.065
-0.738,1.865,-0.209,15.747,-29.053,-215.576
-0.781,1.687,-0.294,16.235,-33.875,-199.951
-0.746,1.562,-0.326,12.207,-37.720,-182.251
-0.713,1.519,-0.370,10.742,-40.588,-164.368
-0.849,1.403,-0.355,7.690,-35.767,-146.667
-1.014,1.304,-0.309,6.104,-25.330,-124.329
-1.057,1.201,-0.308,4.761,-16.541,-97.900
-1.088,1.134,-0.281,0.977,-9.766,-70.496
-1.081,1.098,-0.266,-1.648,1.160,-40.710
-0.992,1.084,-0.271,-4.272,5.859,-10.376
-0.897,1.081,-0.220,-7.812,4.578,16.296
-0.757,1.076,-0.169,-14.099,-3.174,38.391
-0.664,1.103,-0.120,-20.264,-16.785,55.664
-0.646,1.110,-0.106,-25.146,-33.081,70.374
-0.730,1.129,-0.031,-25.940,-46.875,83.435
-0.602,1.093,-0.085,-31.189,-55.542,91.736
-0.000,1.291,-0.169,-43.945,-57.617,92.041
1.280,1.402,0.073,-29.907,-36.804,73.242
1.722,0.948,0.503,-19.775,-2.991,70.190
0.767,0.927,0.446,-15.442,1.526,80.750
0.177,0.972,0.333,-14.587,-16.724,90.637
-0.411,1.111,0.012,-38.635,-39.856,106.140
-0.747,1.822,-0.143,-50.293,-36.743,120.972
-0.210,1.746,0.279,-32.043,-25.024,116.699
0.157,1.302,-0.144,-34.363,-25.391,104.919
0.560,1.077,0.068,-36.560,-25.940,92.896
0.031,1.159,-0.174,-32.654,-33.386,92.712
0.206,1.151,-0.205,-31.738,-47.485,89.355
0.240,1.041,-0.330,-34.668,-62.744,77.148
0.182,1.119,-0.239,-26.306,-70.068,67.688
-0.097,0.913,-0.217,-23.621,-64.209,63.049
0.062,1.024,-0.043,-7.812,-46.326,56.946
-0.309,0.657,-0.480,-5.005,-22.339,52.856
0.165,1.234,-0.059,-20.386,6.226,59.265
-0.391,1.201,-0.053,-16.785,26.123,61.096
0.144,1.239,0.052,-12.939,39.856,62.744
0.188,0.931,0.034,-16.418,44.983,57.068
0.207,1.016,0.135,-16.296,41.565,54.688
0.082,0.918,-0.023,-19.958,30.396,49.500
0.418,1.004,0.021,-19.409,23.071,40.833
0.106,0.906,-0.167,-22.705,16.663,36.011
0.116,1.080,-0.138,-18.616,13.672,32.959
0.537,0.924,-0.049,-15.503,13.367,27.466
-0.052,0.998,-0.188,-17.273,14.771,30.518
0.257,1.037,-0.056,-10.315,14.465,27.588
0.379,0.849,-0.100,-10.498,18.433,25.696
-0.084,1.012,-0.117,-11.292,19.958,29.968
-0.018,1.055,0.000,-8.484,18.066,26.489
0.702,0.884,-0.010,-5.859,19.409,20.142
-0.039,0.900,-0.218,-14.282,13.123,26.367
-0.377,1.175,0.044,-10.864,13.489,27.649
0.906,0.752,-0.006,-10.254,13.123,17.395
-0.457,0.982,-0.264,-18.494,6.165,27.710
0.113,1.054,-0.074,-10.071,10.864,21.240
0.474,0.869,-0.109,-13.306,8.606,20.935
-0.071,1.081,0.011,-8.667,11.780,24.109
-0.025,0.931,-0.315,-10.193,13.000,22.339
0.260,1.009,-0.025,-6.592,14.404,22.034
0.189,0.983,-0.068,-7.080,15.808,20.935
-0.037,1.019,-0.129,-7.385,16.113,23.010
0.079,0.999,-0.069,-5.920,18.738,22.034
0.212,0.927,-0.148,-8.423,16.724,22.705
-0.113,1.080,0.007,-5.859,16.724,24.353
0.487,0.850,-0.213,-8.484,16.113,19.287
-0.154,1.126,-0.167,-9.216,10.193,25.818
-0.035,0.975,0.047,-7.507,13.550,24.658
0.167,0.946,-0.230,-7.812,9.949,26.123
0.102,0.979,-0.065,-6.836,6.531,26.550
-0.047,0.970,-0.283,-10.437,2.197,27.832
0.135,1.030,0.001,-7.812,3.601,28.564
0.085,1.006,-0.266,-9.338,1.770,30.334
-0.031,1.013,-0.169,-9.094,1.282,33.203
0.225,0.996,0.046,-7.996,3.174,32.288
0.072,0.965,-0.348,-9.094,-0.916,35.645
-0.068,1.061,-0.001,-8.850,-0.854,39.001
0.420,0.968,-0.057,-9.399,-1.648,38.452
-0.111,1.096,-0.270,-10.498,-4.761,44.861
-0.376,1.100,-0.152,-12.390,-3.418,50.659
0.423,1.039,0.026,-6.775,4.395,49.927
0.223,0.986,-0.441,-8.301,-0.122,53.955
-0.876,1.172,-0.215,-12.756,3.174,65.674
0.871,0.960,0.334,-9.399,13.367,59.448
-0.460,1.224,-0.722,-9.705,0.793,69.336
-0.148,1.064,0.369,-17.151,10.986,73.364
0.523,1.189,-0.100,-14.709,4.395,73.059
-0.349,1.141,0.060,-15.808,4.639,78.308
-0.071,1.194,-0.024,-21.179,0.366,79.895
-0.001,1.194,-0.044,-18.372,-3.540,82.031
0.190,1.147,0.030,-22.705,-6.165,83.679
-0.114,1.264,-0.111,-22.400,-9.399,89.661
0.111,1.206,-0.010,-22.827,-8.118,91.675
-0.233,1.231,-0.399,-24.658,-12.268,98.511
0.207,1.234,0.107,-23.804,-3.113,100.647
0.075,1.270,-0.320,-26.550,-4.578,106.934
-0.292,1.372,-0.251,-28.259,1.770,114.807
0.175,1.404,-0.169,-27.771,11.230,117.676
-0.050,1.545,-0.248,-28.320,18.494,126.526
0.124,1.497,-0.128,-30.823,30.945,136.841
0.177,1.576,-0.030,-31.921,37.964,146.790
0.279,1.635,-0.016,-29.419,46.570,150.879
0.203,1.751,-0.159,-33.569,52.490,155.457
0.648,1.898,-0.038,-32.654,61.584,163.879
0.778,1.786,-0.253,-31.494,59.387,177.551
0.492,1.730,-0.209,-34.668,54.688,184.448
0.351,1.643,-0.312,-44.189,51.086,180.908
0.097,1.666,-0.324,-49.438,40.955,178.833
-0.238,1.687,-0.221,-48.645,29.907,175.171
-0.429,1.532,-0.278,-47.424,32.898,170.105
-0.016,1.507,-0.265,-43.884,42.786,157.471
0.290,1.527,-0.305,-37.781,48.828,149.475
0.361,1.281,-0.228,-25.696,59.204,141.235
0.593,0.881,-0.226,-20.996,69.946,123.535
0.497,0.705,-0.037,-13.367,73.853,105.469
-0.141,0.390,-0.329,-8.179,58.105,94.971
-0.250,0.223,-0.195,-3.479,33.875,77.881
0.414,0.317,-0.092,-1.892,10.498,51.880
0.477,0.522,0.024,-5.554,-10.010,32.959
0.552,0.616,-0.091,5.676,-16.846,7.385
0.204,0.401,-0.084,-6.531,-20.874,-4.578
0.098,0.621,0.078,0.244,-21.790,-14.343
0.369,0.299,0.117,9.644,-16.785,-30.884
0.447,0.184,0.120,16.846,-12.817,-50.171
0.418,0.217,0.054,22.217,-9.827,-69.946
0.354,0.323,0.041,27.161,-7.874,-86.731
0.289,0.417,0.033,32.654,-8.911,-100.891
0.220,0.441,0.005,37.231,-12.085,-113.647
0.142,0.457,-0.056,41.016,-15.320,-126.892
0.092,0.458,-0.089,45.593,-15.564,-140.991
0.104,0.460,-0.130,48.340,-15.869,-155.823
0.122,0.491,-0.106,49.683,-18.860,-170.105
0.178,0.553,-0.087,51.392,-24.109,-184.814
0.203,0.599,-0.075,53.406,-30.579,-198.181
0.215,0.669,-0.082,54.993,-36.011,-210.449
0.163,0.740,-0.063,57.739,-37.048,-221.741
0.151,0.796,-0.052,59.387,-34.363,-231.323
0.142,0.869,-0.035,59.082,-29.541,-239.014
0.092,0.970,-0.022,59.509,-22.461,-244.629
0.040,1.046,-0.021,59.448,-13.489,-249.207
0.030,1.119,-0.002,59.387,-4.333,-253.540
0.096,1.179,-0.046,56.580,1.831,-259.705
0.032,1.321,-0.092,54.810,9.583,-265.991
-0.106,1.440,-0.139,49.561,14.832,-276.062
0.014,1.362,-0.172,37.476,9.338,-281.006
0.092,1.628,-0.231,37.109,22.644,-297.119
0.165,1.807,-0.173,37.476,15.137,-303.955
0.270,2.074,-0.152,60.181,-0.916,-273.376
0.030,2.027,-0.138,60.242,-11.658,-267.761
-0.201,2.023,-0.111,57.922,-20.935,-261.108
-0.481,1.941,-0.072,51.697,-21.912,-256.653
-0.611,1.993,-0.126,44.373,-19.409,-256.287
-0.706,2.002,-0.176,37.415,-17.456,-248.779
-0.778,1.979,-0.303,27.405,-13.428,-238.342
-0.778,1.991,-0.377,23.071,-12.756,-223.572
-0.847,1.854,-0.418,17.090,-15.869,-207.336
-0.983,1.616,-0.521,5.127,-20.874,-189.453
-1.072,1.548,-0.560,1.892,-27.100,-168.152
-1.188,1.392,-0.507,-0.122,-28.931,-142.029
-1.376,1.418,-0.459,3.174,-24.963,-110.779
-1.542,1.322,-0.358,9.705,-14.404,-74.036
-1.484,1.129,-0.344,9.033,-9.155,-36.072
-1.182,1.075,-0.409,3.601,-10.132,-1.526
-0.859,1.135,-0.343,-4.761,-18.250,25.696
-0.731,1.140,-0.346,-13.245,-25.452,45.837
-0.680,1.170,-0.258,-18.677,-33.081,60.364
-0.672,1.161,-0.223,-21.851,-40.955,72.754
-0.728,1.195,-0.098,-18.311,-45.166,87.769
-0.416,1.182,0.033,-30.273,-43.762,102.722
0.382,1.511,0.074,-20.935,-25.330,97.900
1.701,1.105,0.542,-13.977,-12.329,78.552
1.419,0.762,0.421,-20.691,8.728,75.562
0.781,0.812,0.482,-21.667,7.996,75.134
-0.310,0.883,-0.090,-40.161,-39.124,87.402
-0.389,1.196,-0.175,-68.909,-56.702,105.103
-0.641,1.919,0.079,-58.777,-45.227,113.586
0.041,1.572,0.283,-37.476,-34.546,103.516
0.421,1.157,0.026,-42.358,-39.124,87.585
0.341,1.209,-0.031,-44.983,-48.706,79.102
0.039,1.240,-0.264,-42.847,-53.589,82.825
0.199,1.176,-0.306,-37.476,-64.758,76.050
