aX,aY,aZ,gX,gY,gZ
-0.143,1.084,-0.217,-3.479,5.310,5.920
-0.341,0.947,-0.209,1.221,5.798,5.798
0.106,0.959,-0.277,-6.409,2.258,2.014
-0.121,0.938,-0.178,-1.343,4.761,5.249
0.082,0.974,-0.242,0.122,5.615,4.211
-0.026,1.019,-0.232,1.953,4.395,4.517
-0.127,0.988,-0.242,1.526,3.967,4.517
0.037,0.889,-0.245,-2.075,4.150,3.296
-0.096,1.000,-0.223,6.287,7.263,5.432
-0.035,0.991,-0.243,4.089,7.629,4.395
-0.030,0.978,-0.211,7.263,8.301,6.348
0.010,0.850,-0.215,7.507,8.362,5.371
0.028,1.143,-0.307,9.949,8.301,6.287
-0.206,0.906,-0.206,16.296,8.057,8.728
-0.100,0.955,-0.239,13.794,6.958,7.690
-0.058,1.030,-0.214,14.160,11.597,9.766
-0.054,0.948,-0.211,16.968,14.343,11.719
-0.141,1.023,-0.215,22.888,11.353,15.869
-0.022,0.899,-0.211,18.616,11.841,19.653
-0.049,0.928,-0.191,7.935,11.780,21.912
-0.115,1.032,-0.198,10.498,13.550,26.672
0.040,0.913,-0.186,10.498,10.376,33.142
0.078,1.090,-0.241,9.949,10.071,40.222
-0.306,0.975,-0.184,13.062,12.634,48.462
0.161,1.001,-0.294,7.324,12.146,54.932
-0.128,0.977,-0.155,9.399,15.198,62.439
-0.301,1.118,-0.186,8.545,11.169,67.139
-0.137,1.071,-0.256,7.324,8.362,68.970
0.303,1.158,-0.305,3.906,11.658,74.158
-0.485,1.073,-0.232,11.475,15.137,88.867
-0.381,1.167,-0.286,15.686,17.212,107.483
0.251,1.208,-0.250,9.094,25.513,123.840
-0.604,1.272,-0.189,14.832,33.997,145.081
-0.145,1.408,-0.307,8.789,39.734,166.687
-0.286,1.225,-0.181,-1.953,49.072,188.843
0.087,1.325,-0.287,-5.859,55.176,209.534
-0.434,1.479,-0.309,-6.592,62.134,227.295
-0.464,1.784,-0.402,-7.446,67.078,243.713
-0.262,1.843,-0.511,0.916,70.251,258.179
-0.491,1.864,-0.490,18.127,74.646,267.578
-0.519,1.957,-0.531,27.222,72.083,271.118
-0.338,2.011,-0.618,28.076,68.665,266.174
-0.453,1.943,-0.527,26.184,65.796,260.315
-0.202,2.018,-0.550,15.625,56.458,250.732
-0.124,1.767,-0.423,20.874,52.734,250.793
-0.046,1.506,-0.349,23.987,53.711,261.841
0.277,1.347,-0.321,25.696,59.143,274.902
0.195,1.097,-0.190,28.809,76.599,288.330
-0.057,1.124,-0.096,6.592,110.474,262.268
0.544,2.161,-0.256,-9.216,124.329,204.590
0.763,2.231,-0.259,-26.184,125.671,143.860
0.745,2.151,-0.271,-12.756,122.986,78.613
0.889,1.658,-0.235,17.639,117.065,16.968
0.873,1.148,-0.272,59.692,108.643,-40.405
0.739,0.537,-0.267,80.811,100.281,-91.125
0.649,0.275,-0.272,73.975,90.027,-120.300
0.592,0.187,-0.283,56.396,79.224,-127.136
0.536,0.130,-0.325,30.457,70.496,-120.911
0.459,0.194,-0.366,10.315,63.232,-111.084
0.463,0.287,-0.373,-3.967,55.542,-104.309
0.536,0.413,-0.364,-14.954,44.739,-103.210
0.609,0.536,-0.355,-22.278,29.724,-108.826
0.666,0.671,-0.343,-23.499,11.536,-121.338
0.690,0.780,-0.348,-20.752,-10.010,-138.916
0.634,0.884,-0.381,-15.320,-32.959,-157.837
0.531,0.905,-0.386,-10.498,-53.162,-173.828
0.425,0.872,-0.372,-9.460,-68.787,-185.547
0.315,0.767,-0.344,-16.052,-80.811,-193.604
0.200,0.670,-0.328,-31.128,-88.074,-198.914
0.084,0.606,-0.306,-51.270,-91.309,-202.271
0.094,0.566,-0.197,-77.515,-94.116,-202.271
-0.343,0.687,-0.336,-93.811,-73.303,-201.050
-0.116,1.031,-0.060,-107.727,-92.041,-195.190
-0.201,1.472,-0.069,-99.976,-99.854,-176.819
-0.481,1.148,-0.004,-71.899,-74.097,-165.771
-0.403,1.684,0.051,-47.241,-44.922,-163.574
-0.340,1.782,0.042,-13.062,-22.705,-166.687
-0.365,1.887,-0.062,21.423,-1.587,-173.035
-0.385,1.790,-0.149,40.649,15.564,-183.594
-0.360,1.592,-0.163,35.828,23.315,-195.801
-0.424,1.380,-0.244,13.855,29.541,-205.566
-0.424,1.263,-0.292,-8.240,31.616,-206.360
-0.394,1.223,-0.324,-27.893,25.513,-199.097
-0.367,1.305,-0.336,-41.260,15.442,-187.317
-0.390,1.442,-0.363,-45.837,10.803,-175.720
-0.414,1.556,-0.373,-44.006,8.606,-164.917
-0.421,1.558,-0.355,-39.734,5.371,-154.419
-0.449,1.556,-0.353,-31.799,-1.526,-141.174
-0.455,1.437,-0.356,-28.015,-11.169,-127.686
-0.448,1.476,-0.415,-27.344,-20.935,-118.286
-0.429,1.378,-0.449,-45.410,-31.067,-118.225
