aX,aY,aZ,gX,gY,gZ
-1.663,0.607,-0.309,-10.620,-10.925,16.846
-1.663,0.499,-0.181,-13.428,-0.916,30.884
-1.645,0.520,-0.112,-21.484,4.639,42.908
-1.610,0.558,-0.082,-31.128,9.460,53.223
-1.633,0.603,-0.082,-49.011,13.123,59.570
-1.811,1.385,0.089,-21.118,28.198,63.660
-1.748,1.306,0.316,21.545,46.326,67.322
-1.980,2.454,0.029,23.071,53.284,18.250
0.272,3.051,-0.844,266.602,41.016,36.499
-0.194,-0.285,0.052,235.291,2.319,23.987
-0.139,0.915,-0.121,180.237,-38.818,0.549
-0.028,0.834,0.043,161.316,-41.443,5.127
-0.391,0.020,-0.127,38.025,-20.569,-23.926
-0.081,0.572,-0.155,-46.936,1.587,-26.794
0.307,1.103,-0.122,-35.522,5.371,-7.812
-0.304,1.246,-0.231,-1.831,3.601,-0.305
0.149,0.867,-0.270,-5.676,6.042,-10.071
-0.173,0.872,-0.201,-13.367,8.789,-15.198
-0.033,0.901,-0.188,-25.024,-5.676,-12.024
-0.020,0.997,-0.276,-26.367,-21.179,-6.348
-0.049,0.958,-0.304,-22.217,-13.733,-3.906
-0.138,1.006,-0.234,-21.790,-11.230,-2.563
0.078,1.020,-0.313,-18.066,-14.282,0.366
-0.039,0.881,-0.238,-21.057,-11.108,0.366
-0.117,0.949,-0.258,-23.010,-7.751,0.610
0.258,0.973,-0.314,-24.292,-6.409,0.000
-0.048,1.026,-0.293,-24.658,-3.418,2.441
-0.092,1.021,-0.385,-17.761,2.808,5.371
0.303,0.992,-0.335,-12.634,7.629,6.409
-0.092,0.948,-0.302,-8.911,10.437,10.986
-0.307,0.991,-0.339,-3.784,11.475,15.930
0.259,0.920,-0.322,-9.766,8.911,13.184
0.127,1.064,-0.293,-11.902,5.493,15.137
-0.556,0.975,-0.283,-11.841,-0.793,21.667
0.346,0.927,-0.385,-11.597,4.028,20.020
-0.195,0.997,-0.265,-10.559,11.719,20.386
-0.373,1.067,-0.455,1.953,15.076,25.940
0.242,0.887,-0.290,2.563,12.756,26.611
-0.250,0.933,-0.287,-3.174,14.893,26.611
-0.047,0.995,-0.384,2.563,18.921,25.452
0.076,0.904,-0.286,0.610,21.057,24.292
-0.136,0.942,-0.294,3.540,17.761,25.879
-0.099,0.985,-0.331,7.874,13.611,26.306
-0.057,0.896,-0.327,10.132,11.719,27.466
-0.026,0.950,-0.335,10.437,8.789,26.672
-0.315,0.947,-0.243,9.766,5.859,27.405
0.153,0.879,-0.324,12.024,4.578,27.344
-0.185,0.964,-0.277,10.315,4.700,24.536
-0.301,0.886,-0.266,7.935,3.235,26.855
-0.077,0.890,-0.299,5.493,2.625,25.513
-0.231,0.900,-0.278,4.395,4.517,24.170
-0.097,0.906,-0.293,2.869,3.967,20.996
-0.331,0.937,-0.263,6.409,3.784,20.508
-0.054,0.852,-0.262,3.662,3.113,18.188
-0.183,0.907,-0.278,3.540,3.418,15.625
-0.253,0.900,-0.285,4.333,3.540,16.052
-0.020,0.849,-0.298,3.784,2.869,14.099
-0.130,0.945,-0.295,2.991,1.953,10.010
-0.281,0.888,-0.286,5.005,4.395,11.414
0.003,0.894,-0.253,1.953,5.676,7.263
-0.185,0.877,-0.236,1.953,5.310,6.042
-0.410,0.940,-0.266,-2.930,3.662,6.409
-0.143,0.887,-0.238,-5.310,2.930,8.179
0.228,0.915,-0.294,-9.399,1.526,3.540
-0.552,1.040,-0.395,-5.920,3.601,7.202
-0.477,0.841,-0.232,-9.216,1.404,13.672
0.395,0.985,-0.235,-8.606,2.869,10.620
-0.739,0.875,-0.270,-7.507,2.197,16.785
-0.160,1.028,-0.381,-6.042,1.343,18.311
-0.065,0.925,-0.235,-6.836,2.991,17.883
-0.149,0.934,-0.387,-3.906,4.944,21.973
-0.366,0.947,-0.291,-4.272,5.310,24.353
-0.233,0.962,-0.319,-2.258,5.981,28.687
-0.108,1.069,-0.423,4.028,15.198,32.043
-0.278,0.936,-0.328,3.479,18.616,37.781
-0.206,0.921,-0.329,-2.380,18.066,41.809
-0.284,1.050,-0.276,-0.793,19.287,48.218
-0.115,0.985,-0.372,-4.700,20.996,55.115
-0.182,0.978,-0.286,0.183,23.315,60.608
-0.592,0.974,-0.283,-5.920,23.987,70.679
